clock	watch	T_int	T_ext	T_set	Cp	Ci	Cd	Hp	Hi	Hd
20200714 134955	612.308	28.91	30.17	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134957	614.356	28.9	30.15	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134959	616.403	28.87	30.14	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 135001	618.451	28.84	30.12	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 135003	620.499	28.83	30.1	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 135005	622.539	28.8	30.1	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 135007	624.594	28.79	30.08	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 135009	626.642	28.76	30.07	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 135011	628.689	28.73	30.06	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 135013	630.731	28.72	30.04	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 135015	632.784	28.69	30.03	30.0	1	0.0	0.0	0.5	0.0	0.0
