clock	watch	T_int	T_ext	T_ref
20200713 230358	1237.746	3.94	7.34	6.157
20200713 230400	1239.873	3.93	7.34	6.134
20200713 230402	1241.999	3.92	7.34	6.118
20200713 230404	1244.111	3.91	7.33	6.118
20200713 230406	1246.221	3.91	7.32	6.103
20200713 230408	1248.337	3.9	7.32	6.095
20200713 230410	1250.46	3.88	7.32	6.08
20200713 230412	1252.575	3.88	7.31	6.064
20200713 230415	1254.7	3.87	7.31	6.064
20200713 230417	1256.812	3.86	7.29	6.057
20200713 230419	1258.926	3.85	7.28	6.041
20200713 230421	1261.054	3.84	7.27	6.041
20200713 230423	1263.178	3.83	7.26	6.026
20200713 230425	1265.289	3.82	7.25	6.011
20200713 230427	1267.403	3.81	7.24	6.003
20200713 230429	1269.53	3.8	7.23	5.986
20200713 230432	1271.66	3.79	7.22	5.986
20200713 230434	1273.784	3.78	7.22	5.963
20200713 230436	1275.91	3.78	7.21	5.963
